"AI",1000,1000,0,"Custom Noun","AI"
"Accuracy",1000,1000,0,"Custom Noun","Accuracy"
"Active Learning",1000,1000,0,"Custom Noun","Active Learning"
"Adversarial Detection",1000,1000,0,"Custom Noun","Adversarial Detection"
"Adversarial Learning",1000,1000,0,"Custom Noun","Adversarial Learning"
"Adversarial Training",1000,1000,0,"Custom Noun","Adversarial Training"
"Agent",1000,1000,0,"Custom Noun","Agent"
"Annotation",1000,1000,0,"Custom Noun","Annotation"
"Autoencoder",1000,1000,0,"Custom Noun","Autoencoder"
"Automatic Evaluation",1000,1000,0,"Custom Noun","Automatic Evaluation"
"Bias",1000,1000,0,"Custom Noun","Bias"
"Calibration",1000,1000,0,"Custom Noun","Calibration"
"Causal Intervention",1000,1000,0,"Custom Noun","Causal Intervention"
"Classification",1000,1000,0,"Custom Noun","Classification"
"Classifier",1000,1000,0,"Custom Noun","Classifier"
"Clustering",1000,1000,0,"Custom Noun","Clustering"
"Online Clustering",1000,1000,0,"Custom Noun","Online Clustering"
"Compositionality",1000,1000,0,"Custom Noun","Compositionality"
"Confidence",1000,1000,0,"Custom Noun","Confidence"
"Constrained Learning",1000,1000,0,"Custom Noun","Constrained Learning"
"Contamination",1000,1000,0,"Custom Noun","Contamination"
"Continual Learning",1000,1000,0,"Custom Noun","Continual Learning"
"Contrastive Learning",1000,1000,0,"Custom Noun","Contrastive Learning"
"Convolution",1000,1000,0,"Custom Noun","Convolution"
"CNN",1000,1000,0,"Custom Noun","CNN"
"Convolution Network",1000,1000,0,"Custom Noun","Convolution Network"
"Convolutional Network",1000,1000,0,"Custom Noun","Convolutional Network"
"Convolutional Neural Network",1000,1000,0,"Custom Noun","Convolutional Neural Network"
"Correlation",1000,1000,0,"Custom Noun","Correlation"
"Counter-factual",1000,1000,0,"Custom Noun","Counter-factual"
"Curriculum Learning",1000,1000,0,"Custom Noun","Curriculum Learning"
"Curse of Dimentionality",1000,1000,0,"Custom Noun","Curse of Dimentionality"
"Data Augmentation",1000,1000,0,"Custom Noun","Data Augmentation"
"Data Distribution",1000,1000,0,"Custom Noun","Data Distribution"
"Data-driven",1000,1000,0,"Custom Noun","Data-driven"
"Dataset",1000,1000,0,"Custom Noun","Dataset"
"Decoder",1000,1000,0,"Custom Noun","Decoder"
"Deep Learning",1000,1000,0,"Custom Noun","Deep Learning"
"Deep-Learning Based",1000,1000,0,"Custom Noun","Deep-Learning Based"
"Dense Retrieval",1000,1000,0,"Custom Noun","Dense Retrieval"
"Detector",1000,1000,0,"Custom Noun","Detector"
"Downstream Task",1000,1000,0,"Custom Noun","Downstream Task"
"Emulate",1000,1000,0,"Custom Noun","Emulate"
"Emulator",1000,1000,0,"Custom Noun","Emulator"
"Encoder",1000,1000,0,"Custom Noun","Encoder"
"E2E",1000,1000,0,"Custom Noun","E2E"
"End-to-end",1000,1000,0,"Custom Noun","End-to-end"
"Ensemble",1000,1000,0,"Custom Noun","Ensemble"
"Ensembling",1000,1000,0,"Custom Noun","Ensembling"
"Estimation",1000,1000,0,"Custom Noun","Estimation"
"Estimator",1000,1000,0,"Custom Noun","Estimator"
"Explainability",1000,1000,0,"Custom Noun","Explainability"
"Explainable AI",1000,1000,0,"Custom Noun","Explainable AI"
"F1",1000,1000,0,"Custom Noun","F1"
"FPR",1000,1000,0,"Custom Noun","FPR"
"Fairness",1000,1000,0,"Custom Noun","Fairness"
"Truthfullness",1000,1000,0,"Custom Noun","Truthfullness"
"False Positive Ratio",1000,1000,0,"Custom Noun","False Positive Ratio"
"Feed Foward Layer",1000,1000,0,"Custom Noun","Feed Foward Layer"
"Feed Foward Network",1000,1000,0,"Custom Noun","Feed Foward Network"
"FFN",1000,1000,0,"Custom Noun","FFN"
"Few-shot",1000,1000,0,"Custom Noun","Few-shot"
"Few-shot Learning",1000,1000,0,"Custom Noun","Few-shot Learning"
"Fine-tune",1000,1000,0,"Custom Noun","Fine-tune"
"Fine-tuning",1000,1000,0,"Custom Noun","Fine-tuning"
"Gaussian Process",1000,1000,0,"Custom Noun","Gaussian Process"
"Generalization",1000,1000,0,"Custom Noun","Generalization"
"Generative",1000,1000,0,"Custom Noun","Generative"
"Generative AI",1000,1000,0,"Custom Noun","Generative AI"
"GAN",1000,1000,0,"Custom Noun","GAN"
"Generative Adversarial Network",1000,1000,0,"Custom Noun","Generative Adversarial Network"
"Heterogeneous",1000,1000,0,"Custom Noun","Heterogeneous"
"Heuristic Approach",1000,1000,0,"Custom Noun","Heuristic Approach"
"Hierarchical Clustering",1000,1000,0,"Custom Noun","Hierarchical Clustering"
"High-Resource",1000,1000,0,"Custom Noun","High-Resource"
"Homogeneous",1000,1000,0,"Custom Noun","Homogeneous"
"Human Intervention",1000,1000,0,"Custom Noun","Human Intervention"
"In-domain",1000,1000,0,"Custom Noun","In-domain"
"Inference",1000,1000,0,"Custom Noun","Inference"
"JIF",1000,1000,0,"Custom Noun","JIF"
"Journal Impact Factor",1000,1000,0,"Custom Noun","Journal Impact Factor"
"KL-divergence",1000,1000,0,"Custom Noun","KL-divergence"
"Key-value",1000,1000,0,"Custom Noun","Key-value"
"Distill",1000,1000,0,"Custom Noun","Distill"
"Distillation",1000,1000,0,"Custom Noun","Distillation"
"KD",1000,1000,0,"Custom Noun","KD"
"Knowledge Distillation",1000,1000,0,"Custom Noun","Knowledge Distillation"
"Knowledge Transfer",1000,1000,0,"Custom Noun","Knowledge Transfer"
"Label Smoothing",1000,1000,0,"Custom Noun","Label Smoothing"
"Labor-intensive",1000,1000,0,"Custom Noun","Labor-intensive"
"Labour-intensive",1000,1000,0,"Custom Noun","Labour-intensive"
"Embedding Space",1000,1000,0,"Custom Noun","Embedding Space"
"Latent Space",1000,1000,0,"Custom Noun","Latent Space"
"Layer-wise",1000,1000,0,"Custom Noun","Layer-wise"
"Localization",1000,1000,0,"Custom Noun","Localization"
"Logistic Regression",1000,1000,0,"Custom Noun","Logistic Regression"
"Low-Resource",1000,1000,0,"Custom Noun","Low-Resource"
"Resource-scarce",1000,1000,0,"Custom Noun","Resource-scarce"
"Machine Unlearning",1000,1000,0,"Custom Noun","Machine Unlearning"
"Maximization",1000,1000,0,"Custom Noun","Maximization"
"Meta",1000,1000,0,"Custom Noun","Meta"
"Meta Learning",1000,1000,0,"Custom Noun","Meta Learning"
"Minimization",1000,1000,0,"Custom Noun","Minimization"
"Model Compression",1000,1000,0,"Custom Noun","Model Compression"
"Model Distillation",1000,1000,0,"Custom Noun","Model Distillation"
"Model Pruning",1000,1000,0,"Custom Noun","Model Pruning"
"Model Quantization",1000,1000,0,"Custom Noun","Model Quantization"
"Multi-class",1000,1000,0,"Custom Noun","Multi-class"
"Multi-label",1000,1000,0,"Custom Noun","Multi-label"
"Multi-modal",1000,1000,0,"Custom Noun","Multi-modal"
"Multimodal",1000,1000,0,"Custom Noun","Multimodal"
"Multi-task",1000,1000,0,"Custom Noun","Multi-task"
"Multiple Instance Learning",1000,1000,0,"Custom Noun","Multiple Instance Learning"
"Mutual Information",1000,1000,0,"Custom Noun","Mutual Information"
"NN",1000,1000,0,"Custom Noun","NN"
"Neural Network",1000,1000,0,"Custom Noun","Neural Network"
"Noise",1000,1000,0,"Custom Noun","Noise"
"Noise-tolerant",1000,1000,0,"Custom Noun","Noise-tolerant"
"Offline Reinforcement Learning",1000,1000,0,"Custom Noun","Offline Reinforcement Learning"
"Online Reinforcement Learning",1000,1000,0,"Custom Noun","Online Reinforcement Learning"
"Open-Domain",1000,1000,0,"Custom Noun","Open-Domain"
"Optimization",1000,1000,0,"Custom Noun","Optimization"
"Out-of-distribution",1000,1000,0,"Custom Noun","Out-of-distribution"
"Out-of-domain",1000,1000,0,"Custom Noun","Out-of-domain"
"Outlier Detection",1000,1000,0,"Custom Noun","Outlier Detection"
"Overfit",1000,1000,0,"Custom Noun","Overfit"
"Overfitted",1000,1000,0,"Custom Noun","Overfitted"
